Variable,General Cohort Non-Lab (N=35,768),General Cohort Lab (N=3,241),WHO Domain Non-Lab (N=14,085),WHO Domain Lab (N=1,762)
Age (mean ± SD, years),38.1 ± 14.4,43.8 ± 15.3,51.4 ± 8.7,53.1 ± 8.7
"Age ≥60 yr, n (%)","3,731 (10.4%)",550 (17.0%),"3,190 (22.6%)",457 (25.9%)
Age distribution,,,,
— <40 yr,"21,141 (59.1%)","1,386 (42.8%)",0 (0.0%),0 (0.0%)
— 40–44 yr,"3,453 (9.7%)",327 (10.1%),"3,453 (24.5%)",327 (18.6%)
— 45–49 yr,"3,001 (8.4%)",402 (12.4%),"3,000 (21.3%)",402 (22.8%)
— 50–54 yr,"2,547 (7.1%)",277 (8.5%),"2,547 (18.1%)",277 (15.7%)
— 55–59 yr,"1,895 (5.3%)",299 (9.2%),"1,895 (13.5%)",299 (17.0%)
— 60–64 yr,"1,619 (4.5%)",224 (6.9%),"1,619 (11.5%)",224 (12.7%)
— 65–69 yr,935 (2.6%),166 (5.1%),935 (6.6%),166 (9.4%)
— 70–74 yr,637 (1.8%),67 (2.1%),636 (4.5%),67 (3.8%)
Sex,,,,
— Male, n (%),"18,938 (52.9%)","1,825 (56.3%)","7,580 (53.8%)",975 (55.3%)
— Female, n (%),"16,830 (47.1%)","1,416 (43.7%)","6,505 (46.2%)",787 (44.7%)
SBP (mmHg, mean ± SD),121.3 ± 18.6,124.6 ± 17.5,128.5 ± 20.6,128.6 ± 17.7
BMI (kg/m², mean ± SD),22.9 ± 4.1,25.9 ± 4.7,23.6 ± 4.4,26.4 ± 4.5
"Current smoker, n (%)",187 (0.5%),123 (3.8%),85 (0.6%),57 (3.2%)
"Diabetes, n (%)","8,591 (24.0%)","1,106 (34.1%)","5,230 (37.1%)",795 (45.1%)
Total cholesterol (mmol/L, mean ± SD),5.53 ± 1.30,5.53 ± 1.30,5.67 ± 1.16,5.67 ± 1.16
Blood pressure category,,,,
— Normal,"13,955 (39.0%)",901 (27.8%),"3,635 (25.8%)",381 (21.6%)
— Elevated,"2,790 (7.8%)",274 (8.5%),"1,091 (7.7%)",168 (9.5%)
— HTN Stage 1,"12,715 (35.5%)","1,397 (43.1%)","5,599 (39.8%)",790 (44.8%)
— HTN Stage 2,"4,465 (12.5%)",460 (14.2%),"2,837 (20.1%)",314 (17.8%)
— Hypertensive crisis,73 (0.2%),11 (0.3%),53 (0.4%),6 (0.3%)
BMI category,,,,
— Underweight (<20),"8,729 (24.4%)",216 (6.7%),"2,424 (17.2%)",55 (3.1%)
— Normal (20–24),"17,751 (49.6%)","1,372 (42.3%)","7,269 (51.6%)",731 (41.5%)
— Overweight (25–29),"7,479 (20.9%)","1,070 (33.0%)","3,340 (23.7%)",595 (33.8%)
— Obese I (30–34),"1,553 (4.3%)",467 (14.4%),898 (6.4%),309 (17.5%)
— Obese II/III (≥35),256 (0.7%),116 (3.6%),154 (1.1%),72 (4.1%)
Location type,,,,
— Urban,"10,331 (28.9%)","1,756 (54.2%)","3,668 (26.0%)","1,082 (61.4%)"
— Rural,"16,948 (47.4%)",873 (26.9%),"9,285 (65.9%)",472 (26.8%)
— Semi-urban,"7,787 (21.8%)",345 (10.6%),806 (5.7%),67 (3.8%)
